nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,gene,lead_snp,trait_id,trait
395,6.74057040268905e-16,0.980137115195162,6.11652735516981e-18,0.00888297879296831,0.010979906011872,ATOX1,rs10044368,bbj-a-159,Coronary artery disease
645,1.66989368138667e-308,6.84066577395269e-296,2.43812138020335e-17,0.0373506947840088,0.962649305215981,ATOX1,rs7720579,eqtl-a-ENSG00000177556,ENSG00000177556
590,1.53989412281074e-304,2.41698624059352e-289,6.36891640215598e-16,0.999651711127007,0.000348288873029212,ATOX1,rs17741826,eqtl-a-ENSG00000213433,ENSG00000213433
534,3.83495091563297e-100,6.01920297377472e-85,6.34940723614766e-16,0.996577022465211,0.00342297753478389,ATOX1,rs2915823,eqtl-a-ENSG00000253921,ENSG00000253921
534,9.55982104166785e-47,1.50047561256108e-31,6.37001865932249e-16,0.999815356695006,0.000184643304999587,ATOX1,rs2016409,eqtl-a-ENSG00000254226,ENSG00000254226
720,6.11744657352959e-16,0.971583067692435,1.47093962156888e-17,0.0233566481138522,0.0050602841937143,ATOX1,rs10044368,finn-b-DM_COMORB_EXMORE,Diabetes-related co-morbidities/complications (more controls excluded)
720,5.9354653232775e-16,0.942680502012908,2.60687462524043e-17,0.0413868849684237,0.0159326130186689,ATOX1,rs10044368,finn-b-DM_PERIPHATHERO,Peripheral atherosclerosis
720,5.57465046216713e-16,0.885375283992121,3.11396523976517e-17,0.0493912818614669,0.0652334341464108,ATOX1,rs10044368,finn-b-E4_LIPOPROTNAS,"Disorder of lipoprotein metabolism, unspecified"
720,6.10775427066987e-16,0.970043719987103,1.54208114781222e-17,0.0244861198228773,0.00547016019001875,ATOX1,rs10044368,finn-b-E4_METABOLIA,Metabolic disorders
720,5.95908994921209e-16,0.946432604505791,2.38362049061498e-17,0.0378413321168634,0.0157260633773433,ATOX1,rs10044368,finn-b-I9_ANGINA,Angina pectoris
720,5.75827743718897e-16,0.914539226424374,4.34272999604238e-17,0.0689554567755529,0.0165053168000739,ATOX1,rs10044368,finn-b-I9_ANGINA_EXNONE,Angina pectoris (no controls excluded)
720,4.51523663289667e-16,0.717117412701142,1.31341669496249e-16,0.208524672139605,0.0743579151592488,ATOX1,rs10044368,finn-b-I9_ANGIO,Coronary angiopasty
720,5.16341570058667e-16,0.820062293286657,6.63517937766484e-17,0.105306394201236,0.0746313125121075,ATOX1,rs10044368,finn-b-I9_ANGIO_EXNONE,Coronary angiopasty (no controls excluded)
720,5.98062065588551e-16,0.949852147249305,2.26107564332275e-17,0.0358965291535041,0.0142513235971886,ATOX1,rs10044368,finn-b-I9_ATHSCLE,"Atherosclerosis, excluding cerebral, coronary and PAD"
720,5.98079566565535e-16,0.949879942592838,2.24399986788712e-17,0.0356250851914612,0.014494972215699,ATOX1,rs10044368,finn-b-I9_ATHSCLE_EXNONE,"""""""""Atherosclerosis, excluding cerebral, coronary and PAD"""""""" (no controls excluded)"
720,6.01587876097833e-16,0.955451898304807,2.10347294166209e-17,0.0333965565386581,0.0111515451565344,ATOX1,rs10044368,finn-b-I9_CABG,Coronary artery bypass grafting
720,6.01882978327651e-16,0.95592058458802,2.1090119006981e-17,0.0334850844240428,0.0105943309879366,ATOX1,rs10044368,finn-b-I9_CABG_EXNONE,Coronary artery bypass grafting (no controls excluded)
720,5.87904281592686e-16,0.933719385292112,2.96340001063005e-17,0.0470459785785813,0.0192346361293032,ATOX1,rs10044368,finn-b-I9_CHD,Major coronary heart disease event
720,5.52847599237492e-16,0.878041777688379,6.86006481027822e-17,0.108939674914271,0.0130185473973461,ATOX1,rs10044368,finn-b-I9_CORATHER,Coronary atherosclerosis
720,5.36960897812724e-16,0.852810253521778,8.54683677481521e-17,0.135730828209714,0.0114589182685094,ATOX1,rs10044368,finn-b-I9_CORATHER_EXNONE,Coronary atherosclerosis (no controls excluded)
720,5.97257560309552e-16,0.948574418547388,1.72394604556743e-17,0.0273559289687751,0.0240696524838342,ATOX1,rs10044368,finn-b-I9_CVD_HARD,Hard cardiovascular diseases
720,5.91387816388298e-16,0.939251993354075,2.9254103946183e-17,0.0464475553458756,0.0143004513000467,ATOX1,rs10044368,finn-b-I9_IHD,"Ischaemic heart disease, wide definition"
720,5.89581102939577e-16,0.936382540921839,2.94896170593345e-17,0.0468191032956673,0.0167983557824921,ATOX1,rs10044368,finn-b-I9_ISCHHEART,Ischemic heart diseases
720,5.85571008865962e-16,0.930013642632417,2.48295062601059e-17,0.0394040536534961,0.030582303714088,ATOX1,rs10044368,finn-b-I9_MI,Myocardial infarction
720,5.92668484790971e-16,0.941285972270622,2.09401921776413e-17,0.0332320805169306,0.0254819472124502,ATOX1,rs10044368,finn-b-I9_MI_EXNONE,Myocardial infarction (no controls excluded)
720,6.00495217661273e-16,0.953716519952135,2.06761219110785e-17,0.0328247028853725,0.0134587771624898,ATOX1,rs10044368,finn-b-I9_MI_STRICT,"Myocardial infarction, strict"
720,6.0281284858249e-16,0.957397420035445,1.97442139639557e-17,0.0313468341724463,0.0112557457921084,ATOX1,rs10044368,finn-b-I9_MI_STRICT_EXNONE,"""""""""Myocardial infarction, strict"""""""" (no controls excluded)"
720,5.78702727760191e-16,0.919105324028715,3.83698092698176e-17,0.0609195959469667,0.0199750800243212,ATOX1,rs10044368,finn-b-I9_REVACS_EXNONE,Emergency coronary revascularization (for ACS) (no controls excluded)
720,5.69148960935131e-16,0.903931872216197,4.61435916685864e-17,0.0732632169756819,0.0228049108081181,ATOX1,rs10044368,finn-b-I9_REVASC,Coronary revascularization (ANGIO or CABG)
720,5.78702728089545e-16,0.919105324551799,3.83698089333119e-17,0.0609195954125108,0.0199750800356895,ATOX1,rs10044368,finn-b-I9_REVASC_EXNONE,Coronary revascularization (ANGIO or CABG) (no controls excluded)
720,5.55613914385473e-16,0.882435285543942,6.18491930998486e-17,0.0982105658743759,0.0193541485816849,ATOX1,rs10044368,finn-b-I9_UAP,Unstable angina pectoris
720,5.65046187104211e-16,0.897415778390479,5.61550153787852e-17,0.0891729206960277,0.0134113009134928,ATOX1,rs10044368,finn-b-I9_UAP_EXNONE,Unstable angina pectoris (no controls excluded)
720,6.11440866766424e-16,0.971100582416177,1.53992719873851e-17,0.024452934121173,0.0044464834626518,ATOX1,rs10044368,finn-b-RX_STATIN,Statin medication
720,5.97620271343245e-16,0.949150482260516,2.10628924070518e-17,0.0334350225197089,0.0174144952197727,ATOX1,rs10044368,finn-b-Z21_PRESENCE_CARDIAC_VASCULAR_IMPLANTNTS_GRAFTS,Presence of cardiac and vascular implants and grafts
553,6.35039985707276e-16,0.98351356164138,7.3890992133783e-18,0.0114387660216579,0.0050476723369588,ATOX1,rs10044368,ieu-a-7,Coronary heart disease
548,6.33675566244667e-16,0.981400787532248,8.3121754444739e-18,0.0128676945092701,0.00573151795848423,ATOX1,rs10044368,ieu-a-798,Myocardial infarction
173,1.33534648782089e-15,0.963815957153582,4.06190979031608e-17,0.0293108620147253,0.00687318083169365,ATOX1,rs10044368,ieu-a-8,Coronary heart disease
4,0.00223048601000405,0.988179746933909,1.22340638590174e-07,4.46559974076474e-05,0.00954498871804058,ATOX1,rs4958487,ieu-a-9,Coronary heart disease
600,5.53550972852774e-16,0.857304010079533,5.55634521213798e-17,0.0859963879249416,0.0566996019955252,ATOX1,rs2915829,met-c-847,Average number of methylene groups per double bond
600,6.23284882173269e-16,0.965303386886488,1.70539977840876e-17,0.0264038380045333,0.00829277510897748,ATOX1,rs10044368,met-c-893,"18:2, linoleic acid (LA)"
600,6.27506510396256e-16,0.971841572134324,1.29380032834539e-17,0.0200294152087264,0.00812901265695204,ATOX1,rs10044368,met-c-918,Phosphatidylcholine and other cholines
601,6.18429452655448e-16,0.957783470056592,2.21620701899848e-17,0.0343152772425308,0.00790125270087691,ATOX1,rs10044368,met-c-935,Sphingomyelins
600,6.26989187688553e-16,0.97104029829086,1.23839979424913e-17,0.0191697450213277,0.00978995668780889,ATOX1,rs10044368,met-c-937,Total phosphoglycerides
752,5.76318647447503e-16,0.984160358400776,7.51983037135304e-18,0.0128383651901479,0.00300127640907208,ATOX1,rs111445645,met-d-Cholines,Total cholines
752,5.74406659600199e-16,0.980895319774324,8.946907903922e-18,0.015274509560837,0.00383017066483665,ATOX1,rs111445645,met-d-DHA,Docosahexaenoic acid
752,5.69859983227895e-16,0.973131110394812,1.40289675531528e-17,0.0239538904873146,0.00291499911787051,ATOX1,rs10044368,met-d-GlycA,Glycoprotein acetyls
752,5.75844587040927e-16,0.983350821069811,8.0310015754398e-18,0.0137113388431465,0.00293784008704266,ATOX1,rs10044368,met-d-LA,Linoleic acid
752,5.7648953047245e-16,0.98445216971006,7.44092601352651e-18,0.0127037800451919,0.00284405024474784,ATOX1,rs111445645,met-d-Phosphatidylc,Phosphatidylcholines
752,5.7583476798556e-16,0.983334053392604,8.05547756778828e-18,0.0137531607427574,0.00291278586463976,ATOX1,rs111445645,met-d-Phosphoglyc,Phosphoglycerides
